"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","d18O_measurements","datings","min_corr_age","max_corr_age","period","mineralogy","mean_d18O"
173,378,18,-67,350,"limestone","50","360",218,7,-53.84,742,795.84,"calcite",-2.51
174,379,26.0167,104.095,1217,"limestone","35","20",547,8,4619.63,10394.85,5775.22,"calcite",-13.104
133,381,44.08,10.21,300,"dolomite","42","100",759,13,1024.11,7277.24,6253.13,"calcite",-4.123
71,382,48.4667,20.5,375,"limestone","150","1000",122,2,-59.95,155.67,215.62,"calcite",-7.46
177,388,22.55,-83.84,170,"mixed","60","50",228,3,6849.67,9914.49,3064.82,"calcite",-2.132
178,389,25.4833,107.9,570,"unknown","NULL","NULL",1020,20,7322,16319,8997,"calcite",-7.951
179,390,45.1,22.8,433,"limestone","90","300",1833,11,-36.2,3792.93,3829.13,"calcite",-8.166
181,392,-9.489,159.974,200,"unknown","NULL","30",2140,41,-60.55,526.77,587.32,"calcite",-7.263
181,393,-9.489,159.974,200,"unknown","NULL","30",559,4,-25.54,69.96,95.5,"calcite",-7.145
182,394,19,82,32,"unknown","NULL","NULL",271,6,2145,3449,1304,"calcite",-4.072
183,395,22.38,-83.97,120,"mixed","130","1500",1153,24,61,12332.8,12271.8,"aragonite",-2.177
185,397,46.6847,7.7819,875,"limestone","NULL","NULL",1975,32,100839.44,110038.43,9198.98999999999,"calcite",-9.714
185,398,46.6847,7.7819,875,"limestone","NULL","NULL",1064,19,77469.53,107246.81,29777.28,"calcite",-8.806
186,399,-8.05,110.633,500,"limestone","100","500",377,11,348.57,3912.8,3564.23,"calcite",-7.025
187,400,46.13,11.03,1880,"limestone","50","NULL",72,5,121281.84,125124.22,3842.38,"calcite",-7.91
187,401,46.13,11.03,1880,"limestone","130","50",199,5,120287.12,127716.9,7429.78,"calcite",-7.946
187,402,46.13,11.03,1880,"limestone","50","NULL",164,5,123555.69,126412.13,2856.44,"calcite",-8.308
188,403,20.16,-87.57,-8.5,"limestone","NULL","NULL",117,6,8462,13651,5189,"calcite",-5.415
189,404,16.6769,-89.0925,550,"limestone","55","NULL",1573,11,4630.6,7159.1,2528.5,"calcite",-5.036
190,405,43.4678,-91.975,356,"dolomite","30","NULL",138,7,-40,7776,7816,"calcite",-5.745
